ID,Field 1,Common,4-letter,Field4,Field5,Field6,Field7
727,,"Bare-shanked Screech-Owl","BSSO",,"Megascops clarkii","MEGCLA",
728,,"Puerto Rican Screech-Owl","PRSO",,"Megascops nudipes","MEGNUD",
729,,"Bare-legged Owl","BLOW",,"Gymnoglaux lawrencii","GYMLAW",
730,,"Crested Owl","CROW",,"Lophostrix cristata","LOPCRI",
731,,"Spectacled Owl","SPEO","*","Pulsatrix perspicillata","PULPER",
732,,"Great Horned Owl","GHOW",,"Bubo virginianus","BUBVIR",
733,,"Snowy Owl","SNOW",,"Bubo scandiacus","BUBSCA",
734,,"Northern Hawk Owl","NHOW",,"Surnia ulula","SURULU",
735,,"Northern Pygmy-Owl","NOPO",,"Glaucidium gnoma","GLAGNO",
736,,"Costa Rican Pygmy-Owl","CRPO",,"Glaucidium costaricanum","GLACOS",
737,,"Central American Pygmy-Owl","CAPO",,"Glaucidium griseiceps","GLAGRI",
738,,"Tamaulipas Pygmy-Owl","TAPO",,"Glaucidium sanchezi","GLASAN",
739,,"Colima Pygmy-Owl","CPYO","*","Glaucidium palmarum","GLAPAL",
740,,"Ferruginous Pygmy-Owl","FEPO",,"Glaucidium brasilianum","GLABRA",
741,,"Cuban Pygmy-Owl","CUPO",,"Glaucidium siju","GLASIJ",
742,,"Elf Owl","ELOW",,"Micrathene whitneyi","MICWHI",
743,,"Burrowing Owl","BUOW",,"Athene cunicularia","ATHCUN",
744,,"Mottled Owl","MOOW",,"Ciccaba virgata","CICVIR",
745,,"Black-and-white Owl","BLWO","**","Ciccaba nigrolineata","CICNIG",
746,,"Spotted Owl","SPOW",,"Strix occidentalis","STROCC",
747,"+","Spotted x Barred Owl Hybrid","SBOH",,"Strix occiden. x varia","STROCV",
748,,"Barred Owl","BADO","**","Strix varia","STRVAR",
749,,"Fulvous Owl","FUOW",,"Strix fulvescens","STRFUL",
750,,"Great Gray Owl","GGOW",,"Strix nebulosa","STRNEB",
751,,"Long-eared Owl","LEOW",,"Asio otus","ASIOTU",
752,,"Stygian Owl","STOW",,"Asio stygius","ASISTY",
753,,"Short-eared Owl","SEOW",,"Asio flammeus","ASIFLA",
754,,"Striped Owl","STRO","*","Pseudoscops clamator","PSECLA",
755,,"Jamaican Owl","JAOW",,"Pseudoscops grammicus","PSEGRA",
756,,"Boreal Owl","BOOW",,"Aegolius funereus","AEGFUN",
757,,"Northern Saw-whet Owl","NSWO",,"Aegolius acadicus","AEGACA",
758,,"Unspotted Saw-whet Owl","USWO",,"Aegolius ridgwayi","AEGRID",
759,"+","Unidentified Owl","UNOW",,"Strigidae (gen, sp)","STRGSP",
760,,"Short-tailed Nighthawk","SHTN","**","Lurocalis semitorquatus","LURSEM",
761,,"Lesser Nighthawk","LENI",,"Chordeiles acutipennis","CHOACU",
762,,"Common Nighthawk","CONI",,"Chordeiles minor","CHOMIN",
763,,"Antillean Nighthawk","ANNI",,"Chordeiles gundlachii","CHOGUN",
764,,"Common Pauraque","COPA",,"Nyctidromus albicollis","NYCALB",
765,,"Common Poorwill","COPO",,"Phalaenoptilus nuttallii","PHANUT",
766,,"Jamaican Pauraque","JAPA",,"Siphonorhis americana","SIPAME",
767,,"Least Pauraque","LEPA",,"Siphonorhis brewsteri","SIPBRE",
768,,"Eared Poorwill","EAPO",,"Nyctiphrynus mcleodii","NYCMCL",
769,,"Yucatan Poorwill","YUPO",,"Nyctiphrynus yucatanicus","NYCYUC",
770,,"Ocellated Poorwill","OCPO",,"Nyctiphrynus ocellatus","NYCOCE",
771,,"Chuck-will's-widow","CWWI",,"Caprimulgus carolinensis","CAPCAR",
772,,"Rufous Nightjar","RUNI",,"Caprimulgus rufus","CAPRUF",
773,,"Greater Antillean Nightjar","GANI",,"Caprimulgus cubanensis","CAPCUB",
774,,"Tawny-collared Nightjar","TCNI",,"Caprimulgus salvini","CAPSAL",
775,,"Yucatan Nightjar","YUNI",,"Caprimulgus badius","CAPBAD",
776,,"Buff-collared Nightjar","BCNI",,"Caprimulgus ridgwayi","CAPRID",
777,,"Whip-poor-will","WPWI",,"Caprimulgus vociferus","CAPVOC",
778,,"Puerto Rican Nightjar","PRNI",,"Caprimulgus noctitherus","CAPNOC",
779,,"Dusky Nightjar","DUNI",,"Caprimulgus saturatus","CAPSAT",
780,,"White-tailed Nightjar","WTNI",,"Caprimulgus cayennensis","CAPCAY",
781,,"Spot-tailed Nightjar","SPTN","**","Caprimulgus maculicaudus","CAPMAD","*"
782,,"Gray Nightjar","GRNI",,"Caprimulgus indicus","CAPIND",
783,,"Great Potoo","GRPO",,"Nyctibius grandis","NYCGRA",
784,,"Common Potoo","CPOT","**","Nyctibius griseus","NYCGRI",
785,,"Northern Potoo","NORP","*","Nyctibius jamaicensis","NYCJAM",
786,,"Oilbird","OILB",,"Steatornis caripensis","STECAR",
787,,"Black Swift","BLSW",,"Cypseloides niger","CYPNIG",
788,,"White-fronted Swift","WFSW",,"Cypseloides storeri","CYPSTO",
789,,"White-chinned Swift","WCHS","*","Cypseloides cryptus","CYPCRY",
790,,"Spot-fronted Swift","SFSW",,"Cypseloides cherriei","CYPCHE",
791,,"Chestnut-collared Swift","CCSW",,"Streptoprocne rutila","STRRUT",
792,,"White-collared Swift","WCSW",,"Streptoprocne zonaris","STRZON",
793,,"White-naped Swift","WNSW",,"Streptoprocne semicollaris","STRSEM",
794,,"Chimney Swift","CHSW",,"Chaetura pelagica","CHAPEL",
795,,"Vaux's Swift","VASW",,"Chaetura vauxi","CHAVAU",
796,,"Chapman's Swift","CHAS","*","Chaetura chapmani","CHACHA",
797,,"Short-tailed Swift","STSW",,"Chaetura brachyura","CHABRA",
798,,"Ashy-tailed Swift","ATSW",,"Chaetura andrei","CHAAND",
799,,"Band-rumped Swift","BRSW",,"Chaetura spinicaudus","CHASPI",
800,,"Costa Rican Swift","CRSW",,"Chaetura fumosa","CHAFUM",
801,,"Gray-rumped Swift","GRSW",,"Chaetura cinereiventris","CHACIN",
802,,"Lesser Antillean Swift","LASW",,"Chaetura martinica","CHAMAR",
803,,"White-throated Needletail","WTNE",,"Hirundapus caudacutus","HIRCAU",
804,,"Mariana Swiftlet","MASW",,"Aerodramus bartschi","AERBAR",
805,,"Common Swift","COSW",,"Apus apus","APUAPU",
806,,"Fork-tailed Swift","FTSW",,"Apus pacificus","APUPAC",
807,,"Alpine Swift","ALSW",,"Apus melba","APUMEL",
808,,"White-throated Swift","WTSW",,"Aeronautes saxatalis","AERSAX",
809,,"Lesser Swallow-tailed Swift","LSTS",,"Panyptila cayennensis","PANCAY",
810,,"Great Swallow-tailed Swift","GSTS",,"Panyptila sanctihieronymi","PANSAN",
811,,"Antillean Palm-Swift","ANPS",,"Tachornis phoenicobia","TACPHO",
812,,"Bronzy Hermit","BRHE",,"Glaucis aeneus","GLAAEN",
813,,"Rufous-breasted Hermit","RBHE",,"Glaucis hirsutus","GLAHIR",
814,,"Band-tailed Barbthroat","BTBA",,"Threnetes ruckeri","THRRUC",
815,,"Green Hermit","GREH","*","Phaethornis guy","PHAGUY",
816,,"Long-billed Hermit","LBIH","*","Phaethornis longirostris","PHALON",
817,,"Pale-bellied Hermit","PBHE",,"Phaethornis anthophilus","PHAANT",
818,,"Stripe-throated Hermit","SRTH","**","Phaethornis striigularis","PHASTR",
819,,"White-tipped Sicklebill","WTSI",,"Eutoxeres aquila","EUTAQU",
820,,"Tooth-billed Hummingbird","TBHU",,"Androdon aequatorialis","ANDAEQ",
821,,"Green-fronted Lancebill","GFRL","*","Doryfera ludovicae","DORLUD",
822,,"Scaly-breasted Hummingbird","SBRH","*","Phaeochroa cuvieri","PHACUV",
823,,"Wedge-tailed Sabrewing","WTSA",,"Campylopterus curvipennis","CAMCUR",
824,,"Long-tailed Sabrewing","LTSA",,"Campylopterus excellens","CAMEXC",
825,,"Rufous Sabrewing","RUSA",,"Campylopterus rufus","CAMRUS","*"
826,,"Violet Sabrewing","VISA",,"Campylopterus hemileucurus","CAMHEM",
827,,"White-necked Jacobin","WNJA",,"Florisuga mellivora","FLOMEL",
828,,"Brown Violet-ear","BRVE",,"Colibri delphinae","COLDEL",
829,,"Green Violet-ear","GRVE",,"Colibri thalassinus","COLTHA",
830,,"Green-breasted Mango","GNBM","**","Anthracothorax prevostii","ANTPRE",
831,,"Black-throated Mango","BTMA",,"Anthracothorax nigricollis","ANTNIG",
832,,"Veraguan Mango","VEMA",,"Anthracothorax veraguensis","ANTVER",
833,,"Antillean Mango","ANMA",,"Anthracothorax dominicus","ANTDOM",
834,,"Green Mango","GMAG","**","Anthracothorax viridis","ANTVIR",
835,,"Jamaican Mango","JAMA",,"Anthracothorax mango","ANTMAN",
836,,"Purple-throated Carib","PTCA",,"Eulampis jugularis","EULJUG",
837,,"Green-throated Carib","GTCA",,"Eulampis holosericeus","EULHOL",
838,,"Ruby-topaz Hummingbird","RTOH","*","Chrysolampis mosquitus","CHRMOS",
839,,"Antillean Crested Hummingbird","ANCH","**","Orthorhyncus cristatus","ORTCRI",
840,,"Violet-headed Hummingbird","VHHU",,"Klais guimeti","KLAGUI",
841,,"Emerald-chinned Hummingbird","ECHU",,"Abeillia abeillei","ABEABE",
842,,"Short-crested Coquette","SCCO",,"Lophornis brachylophus","LOPBRA",
843,,"Rufous-crested Coquette","RCRC","*","Lophornis delattrei","LOPDEL",
844,,"Black-crested Coquette","BCCO",,"Lophornis helenae","LOPHEL",
845,,"White-crested Coquette","WCCO",,"Lophornis adorabilis","LOPADO",
846,,"Green Thorntail","GRET","*","Discosura conversii","DISCON",
847,,"Golden-crowned Emerald","GCEM",,"Chlorostilbon auriceps","CHLAUR",
848,,"Cozumel Emerald","COEM",,"Chlorostilbon forficatus","CHLFOR",
849,,"Canivet's Emerald","CAEM",,"Chlorostilbon canivetii","CHLCAV","*"
850,,"Garden Emerald","GAEM",,"Chlorostilbon assimilis","CHLASS",
851,,"Cuban Emerald","CUEM",,"Chlorostilbon ricordii","CHLRIC",
852,,"Brace's Emerald","BREM",,"Chlorostilbon bracei","CHLBRA",
853,,"Hispaniolan Emerald","HIEM",,"Chlorostilbon swainsonii","CHLSWA",
854,,"Puerto Rican Emerald","PREM",,"Chlorostilbon maugaeus","CHLMAU",
855,,"Dusky Hummingbird","DUHU",,"Cynanthus sordidus","CYNSOR",
856,,"Broad-billed Hummingbird","BBIH","*","Cynanthus latirostris","CYNLAT",
857,,"Blue-headed Hummingbird","BHHU",,"Cyanophaia bicolor","CYABIC",
858,,"Mexican Woodnymph","MEWO",,"Thalurania ridgwayi","THARID",
859,,"Violet-crowned Woodnymph","VCWO",,"Thalurania colombica","THACOL",
860,,"Green-crowned Woodnymph","GNCW","**","Thalurania fannyi","THAFAN",
861,,"Fiery-throated Hummingbird","FTHU",,"Panterpe insignis","PANINS",
862,,"Violet-bellied Hummingbird","VBHU",,"Damophila julie","DAMJUL",
863,,"Sapphire-throated Hummingbird","SHTH","**","Lepidopyga coeruleogularis","LEPCOE",
864,,"Humboldt's Sapphire","HUSA","**","Hylocharis humboldtii","HYLHUM",
865,,"Blue-throated Goldentail","BTRG","**","Hylocharis eliciae","HYLELI",
866,,"White-eared Hummingbird","WEHU",,"Hylocharis leucotis","HYLLEU",
867,,"Xantus's Hummingbird","XAHU",,"Hylocharis xantusii","HYLXAN",
868,,"Violet-capped Hummingbird","VCAH","*","Goldmania violiceps","GOLVIO",
869,,"Rufous-cheeked Hummingbird","RCHU",,"Goethalsia bella","GOEBEL",
870,,"Streamertail","STRM","*","Trochilus polytmus","TROPOL",
871,,"White-bellied Emerald","WBEM",,"Amazilia candida","AMACAN",
872,,"Honduran Emerald","HOEM",,"Amazilia luciae","AMALUC",
873,,"Blue-chested Hummingbird","BCHH","*","Amazilia amabilis","AMAAMB","*"
874,,"Charming Hummingbird","CHHU",,"Amazilia decora","AMADEC",
875,,"Mangrove Hummingbird","MANH","*","Amazilia boucardi","AMABOU",
876,,"Azure-crowned Hummingbird","AZCH","**","Amazilia cyanocephala","AMACYC","*"
877,,"Berylline Hummingbird","BEHU",,"Amazilia beryllina","AMABER",
878,,"Blue-tailed Hummingbird","BLTH","**","Amazilia cyanura","AMACYR","*"
879,,"Steely-vented Hummingbird","SVHU",,"Amazilia saucerrottei","AMASAU",
880,,"Snowy-bellied Hummingbird","SBEH","*","Amazilia edward","AMAEDW",
881,,"Rufous-tailed Hummingbird","RTAH","*","Amazilia tzacatl","AMATZA",
882,,"Buff-bellied Hummingbird","BBEH","*","Amazilia yucatanensis","AMAYUC",
883,,"Cinnamon Hummingbird","CIHU",,"Amazilia rutila","AMARUT",
884,,"Violet-crowned Hummingbird","VCHU",,"Amazilia violiceps","AMAVIO",
885,,"Green-fronted Hummingbird","GFHU",,"Amazilia viridifrons","AMAVIF","*"
886,,"Stripe-tailed Hummingbird","STLH","**","Eupherusa eximia","EUPEXI",
887,,"Blue-capped Hummingbird","BCAH","*","Eupherusa cyanophrys","EUPCYP","*"
888,,"White-tailed Hummingbird","WTAH","*","Eupherusa poliocerca","EUPPOL",
889,,"Black-bellied Hummingbird","BLBH","**","Eupherusa nigriventris","EUPNIG",
890,,"White-tailed Emerald","WTEM",,"Elvira chionura","ELVCHI",
891,,"Coppery-headed Emerald","CHEM",,"Elvira cupreiceps","ELVCUP",
892,,"Snowcap","SNOC","*","Microchera albocoronata","MICALB",
893,,"White-vented Plumeleteer","WVPL",,"Chalybura buffonii","CHABUF",
894,,"Bronze-tailed Plumeleteer","BTPL",,"Chalybura urochrysia","CHAURO",
895,,"Green-throated Mountain-gem","GTMG",,"Lampornis viridipallens","LAMVIR",
896,,"Green-breasted Mountain-gem","GBMG",,"Lampornis sybillae","LAMSYB",
897,,"Amethyst-throated Hummingbird","ATHU",,"Lampornis amethystinus","LAMAME",
898,,"Blue-throated Hummingbird","BTHH","*","Lampornis clemenciae","LAMCLE",
899,,"White-bellied Mountain-gem","WBMG",,"Lampornis hemileucus","LAMHEM",
900,,"Purple-throated Mountain-gem","PTMG",,"Lampornis calolaemus","LAMCAL",
901,,"White-throated Mountain-gem","WTMG",,"Lampornis castaneoventris","LAMCAS",
902,,"Garnet-throated Hummingbird","GATH","**","Lamprolaima rhami","LAMRHA",
903,,"Green-crowned Brilliant","GCBR",,"Heliodoxa jacula","HELJAC",
904,,"Magnificent Hummingbird","MAHU",,"Eugenes fulgens","EUGFUL",
905,,"Greenish Puffleg","GRPU",,"Haplophaedia aureliae","HAPAUR",
906,,"Purple-crowned Fairy","PCFA",,"Heliothryx barroti","HELBAR",
907,,"Long-billed Starthroat","LBST",,"Heliomaster longirostris","HELLON",
908,,"Plain-capped Starthroat","PCST",,"Heliomaster constantii","HELCON",
909,,"Bahama Woodstar","BAWO",,"Calliphlox evelynae","CALEVE",
910,,"Magenta-throated Woodstar","MTWO",,"Calliphlox bryantae","CALBRY",
911,,"Purple-throated Woodstar","PTWO",,"Calliphlox mitchellii","CALMIT",
912,,"Slender Sheartail","SLSH",,"Doricha enicura","DORENI",
913,,"Mexican Sheartail","MESH",,"Doricha eliza","DORELI",
914,,"Sparkling-tailed Hummingbird","SPTH","**","Tilmatura dupontii","TILDUP",
915,,"Lucifer Hummingbird","LUHU",,"Calothorax lucifer","CALLUC",
916,,"Beautiful Hummingbird","BEAH","*","Calothorax pulcher","CALPUL",
917,,"Ruby-throated Hummingbird","RTHU",,"Archilochus colubris","ARCCOL",
918,,"Black-chinned Hummingbird","BCHU",,"Archilochus alexandri","ARCALE",
919,,"Vervain Hummingbird","VEHU",,"Mellisuga minima","MELMIN",
920,,"Bee Hummingbird","BEEH","*","Mellisuga helenae","MELHEL",
921,,"Anna's Hummingbird","ANHU",,"Calypte anna","CALANN",
922,,"Costa's Hummingbird","COHU",,"Calypte costae","CALCOS",
923,,"Calliope Hummingbird","CAHU",,"Stellula calliope","STECAL",
924,,"Bumblebee Hummingbird","BUHU",,"Atthis heloisa","ATTHEL",
925,,"Wine-throated Hummingbird","WTHH","*","Atthis ellioti","ATTELL",
926,,"Broad-tailed Hummingbird","BTAH","*","Selasphorus platycercus","SELPLA",
927,,"Rufous Hummingbird","RUHU",,"Selasphorus rufus","SELRUF",
928,,"Allen's Hummingbird","ALHU",,"Selasphorus sasin","SELSAS",
929,,"Volcano Hummingbird","VOHU",,"Selasphorus flammula","SELFLA",
930,,"Glow-throated Hummingbird","GLTH","**","Selasphorus ardens","SELARD",
931,,"Scintillant Hummingbird","SCHU",,"Selasphorus scintilla","SELSCI",
932,"+","Unidentified Selasphorus Hummingbird","USHU",,"Selaphorus (sp)","SELSPS","*"
933,"+","Unidentified Hummingbird","UNHU",,"Trochilidae (gen, sp)","TRCGSP","**"
934,,"Cuban Trogon","CUTR",,"Priotelus temnurus","PRITEM",
935,,"Hispaniolan Trogon","HITR",,"Priotelus roseigaster","PRIROS",
936,,"Black-headed Trogon","BHTR",,"Trogon melanocephalus","TROMEC","*"
937,,"Citreoline Trogon","CITR",,"Trogon citreolus","TROCIT",
938,,"White-tailed Trogon","WTAT","*","Trogon viridis","TROVIR",
939,,"Baird's Trogon","BATR",,"Trogon bairdii","TROBAI",
940,,"Violaceous Trogon","VITR",,"Trogon violaceus","TROVIO",
941,,"Mountain Trogon","MOTR",,"Trogon mexicanus","TROMEX",
942,,"Elegant Trogon","ELTR",,"Trogon elegans","TROELE",
943,,"Collared Trogon","COTR",,"Trogon collaris","TROCOL",
944,,"Orange-bellied Trogon","OBTR",,"Trogon aurantiiventris","TROAUR",
945,,"Black-throated Trogon","BTHT","*","Trogon rufus","TRORUS","*"
946,,"Black-tailed Trogon","BTAT","*","Trogon melanurus","TROMER","*"
947,,"Slaty-tailed Trogon","STTR",,"Trogon massena","TROMAS",
948,,"Lattice-tailed Trogon","LTTR",,"Trogon clathratus","TROCLA",
949,,"Eared Quetzal","EAQU",,"Euptilotis neoxenus","EUPNEO",
950,,"Golden-headed Quetzal","GHQU",,"Pharomachrus auriceps","PHAAUC","*"
951,,"Resplendent Quetzal","REQU",,"Pharomachrus mocinno","PHAMOC",
952,,"Eurasian Hoopoe","EHOO","**","Upupa epops","UPUEPO",
953,,"Cuban Tody","CUTO",,"Todus multicolor","TODMUL",
954,,"Broad-billed Tody","BBTO",,"Todus subulatus","TODSUB",
955,,"Narrow-billed Tody","NBTO",,"Todus angustirostris","TODANG",
956,,"Jamaican Tody","JATO",,"Todus todus","TODTOD",
957,,"Puerto Rican Tody","PRTO",,"Todus mexicanus","TODMEX",
958,,"Tody Motmot","TOMO",,"Hylomanes momotula","HYLMOM",
959,,"Blue-throated Motmot","BTMO",,"Aspatha gularis","ASPGUL",
960,,"Russet-crowned Motmot","RCMO",,"Momotus mexicanus","MOMMEX",
961,,"Blue-crowned Motmot","BCMO",,"Momotus momota","MOMMOM",
962,,"Rufous Motmot","RMOT","**","Baryphthengus martii","BARMAR",
963,,"Keel-billed Motmot","KBMO",,"Electron carinatum","ELECAR",
964,,"Broad-billed Motmot","BBMO",,"Electron platyrhynchum","ELEPLA",
965,,"Turquoise-browed Motmot","TBMO",,"Eumomota superciliosa","EUMSUP",
966,,"Ringed Kingfisher","RIKI",,"Ceryle torquatus","CERTOR",
967,,"Belted Kingfisher","BEKI",,"Ceryle alcyon","CERALC",
968,,"Amazon Kingfisher","AMKI",,"Chloroceryle amazona","CHLAMA",
969,,"Green Kingfisher","GKIN","**","Chloroceryle americana","CHLAME",
970,,"Green-and-rufous Kingfisher","GARK",,"Chloroceryle inda","CHLIND",
971,,"American Pygmy Kingfisher","APKI",,"Chloroceryle aenea","CHLAEN",
972,,"Barred Puffbird","BAPU",,"Nystalus radiatus","NYSRAD",
973,,"White-necked Puffbird","WNPU",,"Notharchus macrorhynchos","NOTMAC",
974,,"Black-breasted Puffbird","BBPU",,"Notharchus pectoralis","NOTPEC",
975,,"Pied Puffbird","PIPU",,"Notharchus tectus","NOTTEC",
976,,"White-whiskered Puffbird","WWPU",,"Malacoptila panamensis","MALPAN",
977,,"Lanceolated Monklet","LAMO",,"Micromonacha lanceolata","MICLAN",
978,,"Gray-cheeked Nunlet","GCNU",,"Nonnula ruficapilla","NONRUF",
979,,"White-fronted Nunbird","WFNU",,"Monasa morphoeus","MONMOR",
980,,"Dusky-backed Jacamar","DBJA",,"Brachygalba salmoni","BRASAL",
981,,"Rufous-tailed Jacamar","RTJA",,"Galbula ruficauda","GALRUF",
982,,"Great Jacamar","GJAC","**","Jacamerops aureus","JACAUR",
983,,"Spot-crowned Barbet","SCBA",,"Capito maculicoronatus","CAPMAR","*"
984,,"Red-headed Barbet","RHBA",,"Eubucco bourcierii","EUBBOU",
985,,"Prong-billed Barbet","PBBA",,"Semnornis frantzii","SEMFRA",
986,,"Emerald Toucanet","EMTO",,"Aulacorhynchus prasinus","AULPRA",
987,,"Collared Aracari","COAR",,"Pteroglossus torquatus","PTETOR",
988,,"Fiery-billed Aracari","FBAR",,"Pteroglossus frantzii","PTEFRA",
989,,"Yellow-eared Toucanet","YETO",,"Selenidera spectabilis","SELSPT","*"
990,,"Keel-billed Toucan","KBTO",,"Ramphastos sulfuratus","RAMSUL",
991,,"Chestnut-mandibled Toucan","CMTO",,"Ramphastos swainsonii","RAMSWA",
992,,"Eurasian Wryneck","EUWR",,"Jynx torquilla","JYNTOR",
993,,"Olivaceous Piculet","OLPI",,"Picumnus olivaceus","PICOLI",
994,,"Antillean Piculet","ANPI",,"Nesoctites micromegas","NESMIC",
995,,"Lewis's Woodpecker","LEWO",,"Melanerpes lewis","MELLEW",
996,,"Guadeloupe Woodpecker","GUWO",,"Melanerpes herminieri","MELHER",
997,,"Puerto Rican Woodpecker","PRWO",,"Melanerpes portoricensis","MELPOR",
998,,"Red-headed Woodpecker","RHWO",,"Melanerpes erythrocephalus","MELERY",
999,,"Acorn Woodpecker","ACWO",,"Melanerpes formicivorus","MELFOR",
1000,,"Golden-naped Woodpecker","GNWO",,"Melanerpes chrysauchen","MELCHC","*"
1001,,"Black-cheeked Woodpecker","BCWO",,"Melanerpes pucherani","MELPUC",
1002,,"Hispaniolan Woodpecker","HIWO",,"Melanerpes striatus","MELSTR",
1003,,"Jamaican Woodpecker","JAWO",,"Melanerpes radiolatus","MELRAD",
1004,,"Golden-cheeked Woodpecker","GCHW","*","Melanerpes chrysogenys","MELCHG","*"
1005,,"Gray-breasted Woodpecker","GBWO",,"Melanerpes hypopolius","MELHYI","*"
1006,,"Yucatan Woodpecker","YUWO",,"Melanerpes pygmaeus","MELPYG",
1007,,"Red-crowned Woodpecker","RCRW","*","Melanerpes rubricapillus","MELRUB",
1008,,"Gila Woodpecker","GIWO",,"Melanerpes uropygialis","MELURO",
1009,,"Hoffmann's Woodpecker","HOWO",,"Melanerpes hoffmannii","MELHOF",
1010,,"Golden-fronted Woodpecker","GFWO",,"Melanerpes aurifrons","MELAUR",
1011,,"Red-bellied Woodpecker","RBWO",,"Melanerpes carolinus","MELCAR",
1012,,"West Indian Woodpecker","WIWO",,"Melanerpes superciliaris","MELSUP",
1013,,"Williamson's Sapsucker","WISA",,"Sphyrapicus thyroideus","SPHTHY",
1014,,"Yellow-bellied Sapsucker","YBSA",,"Sphyrapicus varius","SPHVAR",
1015,,"Red-naped Sapsucker","RNSA",,"Sphyrapicus nuchalis","SPHNUC",
1016,"+","Red-naped X Red-breasted Saps. Hybrid","RRSH",,"Sphyrapicus nuchalis x ruber","SPHNUR",
1017,,"Red-breasted Sapsucker","RBSA",,"Sphyrapicus ruber","SPHRUB",
1018,"+","Unidentified Sapsucker","UNSA",,"Sphyrapicus (sp)","SPHSPE",
1019,,"Cuban Green Woodpecker","CGWO",,"Xiphidiopicus percussus","XIPPER",
1020,,"Great Spotted Woodpecker","GSWO",,"Dendrocopos major","DENMAJ",
1021,,"Ladder-backed Woodpecker","LBWO",,"Picoides scalaris","PICSCA",
1022,,"Nuttall's Woodpecker","NUWO",,"Picoides nuttallii","PIDNUT","**"
1023,,"Downy Woodpecker","DOWO",,"Picoides pubescens","PICPUB",
1024,,"Hairy Woodpecker","HAWO",,"Picoides villosus","PICVIL",
1025,,"Arizona Woodpecker","ARWO",,"Picoides arizonae","PICARI",
1026,,"Strickland's Woodpecker","STCW","**","Picoides stricklandi","PICSTR",
1027,,"Red-cockaded Woodpecker","RCWO",,"Picoides borealis","PICBOR",
1028,,"White-headed Woodpecker","WHWO",,"Picoides albolarvatus","PICALB",
1029,,"American Three-toed Woodpecker","ATTW",,"Picoides dorsalis","PICDOR",
1030,,"Black-backed Woodpecker","BBWO",,"Picoides arcticus","PICARC",
1031,,"Smoky-brown Woodpecker","SMBW","**","Veniliornis fumigatus","VENFUM",
1032,,"Red-rumped Woodpecker","RRWO",,"Veniliornis kirkii","VENKIR",
1033,,"Rufous-winged Woodpecker","RWWO",,"Piculus simplex","PICSIM",
1034,,"Stripe-cheeked Woodpecker","SCHW","*","Piculus callopterus","PICCAL",
1035,,"Golden-green Woodpecker","GGWO",,"Piculus chrysochloros","PICCHR",
1036,,"Golden-olive Woodpecker","GOWO",,"Piculus rubiginosus","PICRUB",
1037,,"Gray-crowned Woodpecker","GYCW","**","Piculus auricularis","PICAUR",
1038,,"Spot-breasted Woodpecker","SBWP","**","Colaptes punctigula","COLPUN",
1039,,"Northern Flicker","NOFL",,"Colaptes auratus","COLAUR",
1040,"+","Yellow-shafted Flicker","YSFL",,"Colaptes a. auratus","COLAAU",
1041,"+","Northern Flicker Intergrade","NFIN",,"Colaptes a.auratus x cafer","COLAAC",
1042,"+","Red-shafted Flicker","RSFL",,"Colaptes a. cafer","COLACA",
1043,,"Gilded Flicker","GIFL",,"Colaptes chrysoides","COLCHR",
1044,,"Fernandina's Flicker","FEFL",,"Colaptes fernandinae","COLFER",
1045,,"Cinnamon Woodpecker","CIWO",,"Celeus loricatus","CELLOR",
1046,,"Chestnut-colored Woodpecker","CCOW","*","Celeus castaneus","CELCAS",
1047,,"Lineated Woodpecker","LIWO",,"Dryocopus lineatus","DRYLIN",
1048,,"Pileated Woodpecker","PIWO",,"Dryocopus pileatus","DRYPIL",
1049,,"Crimson-bellied Woodpecker","CBWO",,"Campephilus haematogaster","CAMHAE",
1050,,"Crimson-crested Woodpecker","CCRW","*","Campephilus melanoleucos","CAMMEL",
1051,,"Pale-billed Woodpecker","PBIW","*","Campephilus guatemalensis","CAMGUA",
1052,,"Ivory-billed Woodpecker","IBWO",,"Campephilus principalis","CAMPRI",
1053,,"Imperial Woodpecker","IMWO",,"Campephilus imperialis","CAMIMP",
1054,"+","Unidentified Woodpecker","UNWO",,"Picadae (gen, sp)","PICGSP",
1055,,"Pale-breasted Spinetail","PBSP",,"Synallaxis albescens","SYNALB",
1056,,"Slaty Spinetail","SLSP",,"Synallaxis brachyura","SYNBRA",
1057,,"Rufous-breasted Spinetail","RBRS","*","Synallaxis erythrothorax","SYNERY",
1058,,"Red-faced Spinetail","RFSP",,"Cranioleuca erythrops","CRAERY",
1059,,"Rusty-backed Spinetail","RBAS","*","Cranioleuca vulpina","CRAVUL",
1060,,"Double-banded Graytail","DBGR",,"Xenerpestes minlosi","XENMIL","*"
1061,,"Spotted Barbtail","SPBA",,"Premnoplex brunnescens","PREBRU",
1062,,"Beautiful Treerunner","BETR",,"Margarornis bellulus","MARBEL",
1063,,"Ruddy Treerunner","RUTR",,"Margarornis rubiginosus","MARRUB",
1064,,"Buffy Tuftedcheek","BUTU",,"Pseudocolaptes lawrencii","PSELAW",
1065,,"Striped Woodhaunter","STPW","**","Hyloctistes subulatus","HYLSUB",
1066,,"Lineated Foliage-gleaner","LIFG",,"Syndactyla subalaris","SYNSUB",
1067,,"Scaly-throated Foliage-gleaner","STFG",,"Anabacerthia variegaticeps","ANAVAR",
1068,,"Slaty-winged Foliage-gleaner","SWFG",,"Philydor fuscipenne","PHIFUS",
