Common_Name,Code
"Pacific Golden-Plover","PAGP"
"Lesser Sand-Plover","LSAP"
"Greater Sand-Plover","GSAP"
"Collared Plover","COPL"
"Snowy Plover","SNPL"
"Wilson's Plover","WIPL"
"Common Ringed Plover","CRPL"
"Semipalmated Plover","SEPL"
"Piping Plover","PIPL"
"Little Ringed Plover","LRPL"
"Killdeer","KILL"
"Mountain Plover","MOPL"
"Eurasian Dotterel","EUDO"
"Eurasian Oystercatcher","EUOY"
"American Oystercatcher","AMOY"
"Black Oystercatcher","BLOY"
"Black-winged Stilt","BWST"
"Black-necked Stilt","BNST"
"Hawaiian Stilt","HAST"
"American Avocet","AMAV"
"Northern Jacana","NOJA"
"Wattled Jacana","WAJA"
"Terek Sandpiper","TESA"
"Common Sandpiper","COSA"
"Spotted Sandpiper","SPSA"
"Green Sandpiper","GRSA"
"Solitary Sandpiper","SOSA"
"Gray-tailed Tattler","GTTA"
"Wandering Tattler","WATA"
"Spotted Redshank","SPRE"
"Greater Yellowlegs","GRYE"
"Common Greenshank","COMG"
"Willet","WILL"
"Lesser Yellowlegs","LEYE"
"Marsh Sandpiper","MASA"
"Wood Sandpiper","WOSA"
"Common Redshank","COMR"
"Upland Sandpiper","UPSA"
"Little Curlew","LICU"
"Eskimo Curlew","ESCU"
"Whimbrel","WHIM"
"Bristle-thighed Curlew","BTCU"
"Far Eastern Curlew","FECU"
"Slender-billed Curlew","SBCU"
"Eurasian Curlew","EUCU"
"Long-billed Curlew","LBCU"
"Black-tailed Godwit","BTGD"
"Hudsonian Godwit","HUGO"
"Bar-tailed Godwit","BTGO"
"Marbled Godwit","MAGO"
"Ruddy Turnstone","RUTU"
"Black Turnstone","BLTU"
"Surfbird","SURF"
"Great Knot","GRKN"
"Red Knot","REKN"
"Sanderling","SAND"
"Semipalmated Sandpiper","SESA"
"Western Sandpiper","WESA"
"Red-necked Stint","RNST"
"Little Stint","LIST"
"Temminck's Stint","TEST"
"Long-toed Stint","LTST"
"Least Sandpiper","LESA"
"White-rumped Sandpiper","WRSA"
"Baird's Sandpiper","BASA"
"Pectoral Sandpiper","PESA"
"Sharp-tailed Sandpiper","SPTS"
"Purple Sandpiper","PUSA"
"Rock Sandpiper","ROSA"
"Dunlin","DUNL"
"Curlew Sandpiper","CUSA"
"Stilt Sandpiper","STSA"
"Spoon-billed Sandpiper","SBSA"
"Broad-billed Sandpiper","BBIS"
"Buff-breasted Sandpiper","BBSA"
"Ruff","RUFF"
"Short-billed Dowitcher","SBDO"
